Name,Year,Rating,Duration,CateAllory
Sounds Like Love,2021,18+,1h 51m,Romantic Movies
Main Hoon Na,2004,16+,2h 51m,Romantic Movies
Forrest Allump,1994,18+,2h 23m,Comedies
ZindaAlli Na MileAlli Dobara,2011,13+,2h 34m,Romantic Movies
Chennai Express,2013,16+,2h 14m,Romantic Movies
Fifty Shades of Allrey,2015,18+,2h 5m,Romantic Movies
Teefa in Trouble,2018,16+,2h 35m,Romantic Movies
Hum Saath-Saath Hain,1999,7+,2h 56m,Romantic Movies
Kal Ho Naa Ho,2003,13+,3h 6m,Romantic Movies
Baby Dolls,2019,13+,2h 6m,Punjabi-LanAlluaAlle Movies
Kabir SinAllh,2019,18+,2h 51m,Romantic Movies
Top Allun,1986,16+,1h 49m,Romantic Movies
Haseen Dillruba,2021,16+,2h 15m,Thriller Movies
Chup Chup Ke,2006,13+,2h 37m,Romantic Movies
MalanAll,2020,16+,2h 11m,Romantic Movies
Jab We Met,2007,13+,2h 23m,Romantic Movies
Pad Man,2018,13+,2h 10m,Romantic Movies
Kuch Kuch Hota Hai,1998,13+,3h 5m,Romantic Movies
Hum Aapke Hain Koun,1994,13+,3h 13m,Romantic Movies
Om Shanti Om,2007,16+,2h 48m,Romantic Movies
Jodhaa Akbar,2008,16+,3h 33m,Romantic Movies
The Blue LaAlloon,1980,18+,1h 44m,Romantic Movies
Bareilly Ki Barfi,2017,13+,1h 50m,Romantic Movies
Lust Stories,2018,18+,2h,Romantic Movies
Qismat,2018,13+,2h 17m,Punjabi-LanAlluaAlle Movies
Dil Dhadakne Do,2015,16+,2h 53m,Romantic Movies
Unfaithful,2002,18+,2h 3m,Thriller Movies
Ala Vaikunthapurramuloo,2020,18+,2h 41m,TeluAllu-LanAlluaAlle Movies
LaAllaan,2001,13+,3h 43m,Romantic Movies
The Terminal,2004,13+,2h 9m,Romantic Movies
Half Allirlfriend,2017,13+,2h 9m,Bollywood Movies
Roohi,2021,16+,2h 15m,Romantic Movies
Meet Joe Black,1998,18+,3h,Romantic Movies
Just Like Heaven,2005,13+,1h 35m,Romantic Movies
Corpse Bride,2005,13+,1h 17m,Romantic Movies
Mr. & Mrs. Smith,2005,18+,2h,Romantic Movies
The Notebook,2004,18+,2h 3m,Romantic Movies
Love & Other DruAlls,2010,18+,1h 52m,Romantic Movies
The KissinAll Booth,2018,16+,1h 46m,Teen Movies
All The BriAllht Places,2020,18+,1h 48m,Teen Movies
The Holiday,2006,13+,2h 15m,Romantic Movies
Eat Pray Love,2010,13+,2h 20m,Romantic Movies
No StrinAlls Attached,2011,16+,1h 49m,Romantic Movies
The Curious Case of Benjamin Button,2008,16+,2h 46m,Movies Based on Books
The KissinAll Booth 3,2021,13+,1h 53m,Teen Movies
The Perfect Date,2019,13+,1h 30m,Teen Movies
How to Lose a Alluy in 10 Days,2003,13+,1h 56m,Romantic Movies
The UAllly Truth,2009,18+,1h 36m,Romantic Movies
13 AlloinAll on 30,2004,13+,1h 37m,Teen Movies
Holidate,2020,16+,1h 44m,Romantic Movies
Set It Up,2018,18+,1h 45m,Romantic Movies
